pro:String	accPEP:Double	conf:Double	label:Int	fdr:Double	qval:Double
sp|O00567|NOP56_HUMAN	4.974381721078734E-52	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|O00629|IMA3_HUMAN	1.7497347287330345E-36	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|O00764|PDXK_HUMAN	1.5663330852701036E-34	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|O14579|COPE_HUMAN	6.067863309995747E-32	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|O14617|AP3D1_HUMAN	9.723306025727518E-48	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|O14744|ANM5_HUMAN	1.6282196164422165E-37	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|O14776|TCRG1_HUMAN	1.6111434413932405E-45	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|O14929|HAT1_HUMAN	1.4168733318975803E-29	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|O14974|MYPT1_HUMAN	3.9500251773938075E-38	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|O14975|S27A2_HUMAN	4.6769800003159684E-39	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|O14980|XPO1_HUMAN	9.495970598154199E-105	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|O15027|SC16A_HUMAN	2.3282072238208447E-72	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|O15067|PUR4_HUMAN	2.8292814725876205E-121	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|O15294|OGT1_HUMAN	1.2749702690959306E-31	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|O15355|PPM1G_HUMAN	1.921854832156343E-54	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|O15371|EIF3D_HUMAN	1.9138881893649742E-56	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|O15397|IPO8_HUMAN	6.803414068931473E-33	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|O15446|RPA34_HUMAN	2.7041396432110816E-34	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|O43143|DHX15_HUMAN	5.0589006534857733E-57	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|O43172|PRP4_HUMAN	6.4397876894733396E-37	140.0	1	0.001148105625717566	3.4674063800277393E-4
